time	mnvel	errvel	tel
2459213.299447	7.448039	1.7742570000000002	HARPS-N
2450606.067813	-13.03	3.665332	HIRES-pre
2450666.001493	2.25	3.538807	HIRES-pre
2450715.9567009998	1.84	3.925382	HIRES-pre
2450983.0377889997	14.35	3.508137	HIRES-pre
2450984.084016	20.89	3.347458	HIRES-pre
2451410.0214810004	51.33	2.6807279999999998	HIRES-pre
2451439.8653700002	42.5	3.0026840000000004	HIRES-pre
2452095.0813659998	22.62	3.3135790000000003	HIRES-pre
2452096.045833	15.72	3.120266	HIRES-pre
2452133.012755	18.15	3.138851	HIRES-pre
2452160.9091669996	8.25	2.707232	HIRES-pre
2452161.845891	4.05	2.842832	HIRES-pre
2452162.886968	6.0	2.896028	HIRES-pre
2452486.968322	-8.55	3.499875	HIRES-pre
2452535.851644	-8.39	3.1907650000000003	HIRES-pre
2452807.010579	6.09	3.003549	HIRES-pre
2452834.0130209997	4.73	3.1266629999999997	HIRES-pre
2452989.720069	14.07	2.674815	HIRES-pre
2453014.710405	19.4	2.95975	HIRES-pre
2453015.71103	18.62	3.420611	HIRES-pre
2453016.70603	18.99	2.671534	HIRES-pre
2453154.079792	24.81	3.6350849999999997	HIRES-pre
2453180.108391	28.08	3.2231400000000003	HIRES-pre
2453196.931389	25.47	3.4642699999999995	HIRES-pre
2453238.929005	27.44	1.533031	HIRES-post
2453301.838414	25.97	1.3814799999999998	HIRES-post
2453302.7424540003	25.93	1.325489	HIRES-post
2453303.798426	23.7	1.180658	HIRES-post
2453603.938738	16.63	1.600834	HIRES-post
2453724.711516	4.9	1.365446	HIRES-post
2453746.7178261625	2.8679886138338357	1.5092673021018401	HIRES-post
2453749.697894	-7.47	1.755587	HIRES-post
2453927.0148380003	-16.95	1.436057	HIRES-post
2453959.086713	-14.49	1.421053	HIRES-post
2453960.9583876394	-13.5068720275422	0.9183966275564706	HIRES-post
2453983.000405	-12.61	1.4217680000000001	HIRES-post
2454083.749514	-29.35	2.133946	HIRES-post
2454337.0736	-37.5	1.47092	HIRES-post
2454343.871655	-37.44	1.326101	HIRES-post
2454429.7419330003	-36.02	1.3864409999999998	HIRES-post
2454455.743704	-38.47	1.6394709999999997	HIRES-post
2454456.733194	-42.03	1.5711469999999996	HIRES-post
2454460.741875	-31.62	1.7069169999999998	HIRES-post
2454634.082824	-26.02	1.406986	HIRES-post
2454635.042037	-27.94	1.302409	HIRES-post
2454636.0510529997	-26.85	1.40523	HIRES-post
2454637.116053	-24.95	1.3095700000000001	HIRES-post
2454638.059086	-27.27	1.449598	HIRES-post
2454639.066944	-28.99	1.418555	HIRES-post
2454640.114572	-31.44	1.43016	HIRES-post
2454641.117153	-29.85	1.432467	HIRES-post
2454644.113461	-25.7	1.4232760000000002	HIRES-post
2454674.9360419996	-26.62	1.5112780000000001	HIRES-post
2454688.9519330002	-27.37	1.4235659999999999	HIRES-post
2454690.004641	-18.34	1.597793	HIRES-post
2454702.032919	-28.09	1.484405	HIRES-post
2454703.1049706135	-21.489468797822106	1.115290889671582	HIRES-post
2454704.1050015045	-20.238520359696558	1.3106408432856096	HIRES-post
2454705.04315	-21.71	1.530995	HIRES-post
2454721.9490630003	-22.46	1.694264	HIRES-post
2454790.751644	-19.13	1.503451	HIRES-post
2454807.793368	-18.71	1.6339019999999997	HIRES-post
2454818.8064496275	-19.663755453902397	1.300811379658848	HIRES-post
2454819.783917154	-18.08549469115448	1.1201236885404773	HIRES-post
2454989.062573	-0.83	1.388292	HIRES-post
2455015.046875	-5.07	1.445192	HIRES-post
2455016.074407	-1.44	1.4115540000000002	HIRES-post
2455025.119143	-0.54	1.3606490000000002	HIRES-post
2455029.018671	-0.85	1.6392799999999998	HIRES-post
2455043.041655	9.35	1.415394	HIRES-post
2455048.9962009997	6.6	1.4003959999999998	HIRES-post
2455050.10046	4.08	1.33707	HIRES-post
2455051.009586585	-14.77557425285223	1.1028063407715003	HIRES-post
2455052.037194	6.11	1.375376	HIRES-post
2455075.0823770002	2.06	1.617821	HIRES-post
2455080.083808	11.0	1.6575779999999998	HIRES-post
2455082.072656	9.94	1.560258	HIRES-post
2455134.922244	7.28	1.547763	HIRES-post
2455135.875583	5.85	1.405478	HIRES-post
2455166.816859	6.19	1.6767249999999998	HIRES-post
2455167.798420808	9.633904457013013	1.0480259813172643	HIRES-post
2455168.772487	8.68	1.666416	HIRES-post
2455169.797432	6.71	1.7251479999999997	HIRES-post
2455188.724503	20.78	1.5952039999999998	HIRES-post
2455200.738897	18.64	1.669703	HIRES-post
2455201.7333360002	14.67	1.626581	HIRES-post
2455202.751432	15.11	1.501806	HIRES-post
2455352.0817	23.78	1.366725	HIRES-post
2455372.090855	21.76	1.4371639999999999	HIRES-post
2455376.031515	22.01	1.2315120000000002	HIRES-post
2455395.957845	24.28	1.2612510000000001	HIRES-post
2455397.048279	22.27	1.3640899999999998	HIRES-post
2455410.111554	20.53	1.3917059999999999	HIRES-post
2455436.111412	23.48	1.457055	HIRES-post
2455462.863173072	24.07354239557467	0.8466010276133916	HIRES-post
2455521.801172	15.93	1.658381	HIRES-post
2455549.7608967884	18.82916393292362	0.9046111520539856	HIRES-post
2455555.792227	23.26	1.443365	HIRES-post
2455720.104656235	6.686362571337088	0.9667908794915149	HIRES-post
2455721.0887240004	3.81	1.668534	HIRES-post
2455736.121885	10.59	1.3380379999999998	HIRES-post
2455751.0243849996	14.69	1.7775290000000004	HIRES-post
2455770.878496	10.69	1.4326610000000002	HIRES-post
2455807.0632740003	7.23	1.49092	HIRES-post
2455824.9239040003	3.7	1.4542600000000003	HIRES-post
2455825.981671353	4.943124898283504	1.1270418733033847	HIRES-post
2455839.863013411	5.299933915212982	1.0313913710152758	HIRES-post
2455840.9025653293	2.100067742248096	1.101087494022249	HIRES-post
2455851.759474	1.79	1.2993850000000002	HIRES-post
2455875.877863	1.12	1.6728880000000002	HIRES-post
2456525.11406	3.62	1.6863130000000004	HIRES-post
2456532.077071	3.59	1.497145	HIRES-post
2456638.6962369997	2.25	1.505958	HIRES-post
2456861.017896	23.05	1.5091010000000002	HIRES-post
2456884.057069	29.76	1.587892	HIRES-post
2457241.1333729997	44.46	1.3410970000000002	HIRES-post
2457597.107915	39.32	2.05996	HIRES-post
2458118.707676	3.63	1.450432	HIRES-post
2458361.086186	-5.28	1.566641	HIRES-post
2458476.6985299997	5.18	1.48648	HIRES-post
2458662.1089729997	3.03	1.4063290000000004	HIRES-post
2457554.6580000003	24.3883608	1.535628169	CARMENES
2457571.63	27.56753666	2.894224846	CARMENES
2457574.664	24.21759658	1.557790319	CARMENES
2457591.5919999997	24.46844085	1.2591438240000001	CARMENES
2457597.565	24.13771867	1.6206896039999998	CARMENES
2457606.508	22.77137213	1.4686902530000003	CARMENES
2457608.582	24.07611837	1.592009009	CARMENES
2457621.5840000003	26.1862021	1.6936261609999999	CARMENES
2457622.516	24.55269596	1.9545397519999996	CARMENES
2457634.606	18.37249839	1.533431355	CARMENES
2457635.424	23.33245439	3.5873533510000004	CARMENES
2457636.4390000002	21.91147887	1.958035633	CARMENES
2457644.469	21.00754665	1.459229697	CARMENES
2457650.39	22.891944	1.3940665259999998	CARMENES
2457654.5409999997	22.31430088	2.089862078	CARMENES
2457656.366	20.89450915	1.4741607289999998	CARMENES
2457657.497	19.47344301	1.7306918549999997	CARMENES
2457665.287	14.92155789	1.3601428599999998	CARMENES
2457678.371	16.68750862	1.8362311889999998	CARMENES
2457679.3340000003	17.42050771	3.1313400319999998	CARMENES
2457689.3140000002	19.41636126	1.293083574	CARMENES
2457693.355	16.30506081	1.15676107	CARMENES
2457704.355	14.87307698	1.288175911	CARMENES
2457711.3219999997	13.23609172	1.4681379469999998	CARMENES
2457922.6569999997	-9.11357224	1.278059545	CARMENES
2457942.6040000003	-4.63835871	1.2943629899999998	CARMENES
2457943.629	0.571397553	1.20227042	CARMENES
2457954.608	-7.608162197	1.592124926	CARMENES
2457959.488	-7.0132465889999995	1.4944813959999996	CARMENES
2457990.486	-5.677991737	1.301534617	CARMENES
2457999.46	-4.8360071389999995	1.513294018	CARMENES
2458009.512	-11.54308087	1.4112158969999997	CARMENES
2458026.4930000002	-11.39995433	1.6009446339999998	CARMENES
2458035.417	-14.06875113	1.9954429850000002	CARMENES
2458051.365	-14.78568087	1.4385339259999999	CARMENES
2458053.37	-11.78417057	1.2513555840000001	CARMENES
2458059.312	-15.71658827	1.285825038	CARMENES
2458065.403	-12.58974906	1.03646416	CARMENES
2458079.346	-15.17730948	1.274938062	CARMENES
2458080.3540000003	-16.13148528	1.29902745	CARMENES
2458081.292	-18.81836975	1.6164337459999998	CARMENES
2458284.617	-16.56980598	1.9115009009999997	CARMENES
2458294.633	-18.90283443	1.1579542790000001	CARMENES
2458300.648	-24.45684513	1.263889576	CARMENES
2458314.624	-11.20397894	1.5125252669999998	CARMENES
2458317.609	-16.5981736	1.474783931	CARMENES
2458321.5409999997	-7.721183223	5.066148028	CARMENES
2458327.67	-17.45179388	1.255986313	CARMENES
2458331.5167050054	-15.539222672879347	1.277240799271476	CARMENES
2458334.645	-18.31877323	1.3843339540000001	CARMENES
2458337.563	-20.77478384	1.559432516	CARMENES
2458341.633	-23.41066735	1.8425436959999997	CARMENES
2458355.549	-13.32820615	1.3074946159999998	CARMENES
2458414.43	-15.00011815	2.101644518	CARMENES
2458643.636	-4.237516793	1.421077605	CARMENES
2458679.582	-0.623567969	1.3160967950000002	CARMENES
2458709.52	-2.0146044069999998	1.482175958	CARMENES
2458759.423	4.430739718	1.024833822	CARMENES
2458804.3959999997	5.199269641	1.4579560619999998	CARMENES
